# note:,,,,,,,,
# coordinate_x : longitude bearing using coordinate system using Borneo RSO / Timbalai 1948,,,,,,,,
# coordinate_y : latitude bearing using coordinate system using Borneo RSO / Timbalai 1948,,,,,,,,
# elevation_m: altitude of the site from sea level in metre ,,,,,,,,
"# forest cover: percentage of forest cover occupying a 1 sq. km area, where the site lies",,,,,,,,
# canopy height: top tree canopy height in metre,,,,,,,,
"# water occurence: percentage of water bodies present in a 1 sq. km area, where the site lies",,,,,,,,
# distance to road: euclidean distance from the site to the known road networks ,,,,,,,,
# human population count: estimated number humans residing at the site,,,,,,,,
,,,,,,,,
site_name,coordinate_x,coordinate_y,elevation_m,forestCover_%,canopyHeight_m,waterOccurrence_%,distanceToRoad_m,humanPopulationCount_n
0002-A,506314,17234,279,95,35,12,0,0
0002-B,516314,160293,308,97,43,0,0,0
0002-C,516300,183558,374,93,41,0,1414.213501,0
0002-D,576300,179063,382,97,39,0,2000,0
0002-E,506300,179349,471,93,37,0,1000,0
0002-F,536300,177877,336,98,41,0,2000,0
0002-G,536300,178106,453,91,40,0,1000,0
0002-H,556300,176788,356,97,43,0,2236.068115,0
0002-I,436300,176590,531,91,43,0,1414.213501,0
0003-A,496224,175612,337,98,44,0,2828.427002,0
0003-B,496143,174576,337,98,44,0,2000,0
0003-C,408306,177608,558,95,44,0,0,0
0003-D,408324,176424,429,98,40,0,0,0
0003-E,407712,175598,422,97,37,0,1000,0
0003-F,307025,174850,317,98,40,0,1000,0
0003-G,306790,177206,533,96,42,0,1414.213501,0
0003-H,306888,176008,439,98,41,0,1000,0
0003-I,306090,175159,308,98,41,0,1000,0
0003-J,300043,176629,322,95,35,0,4123.105469,0
0003-K,390763,177186,300,92,37,0,3605.55127,0
0003-L,315767,176869,533,96,42,0,1000,0
0004-A,115275,175778,439,98,41,0,0,0
0004-B,113813,174554,297,98,38,0,1000,0
0004-C,155300,213262,648,94,34,0,0,0
0004-D,156882,207307,869,92,40,0,2828.427002,0
0004-E,155077,209667,491,92,38,0,1000,0
0004-F,756931,208766,612,97,33,0,1414.213501,0
0004-G,761546,209074,775,98,41,0,0,0
0004-H,758226,208867,680,98,40,0,0,0
0004-I,660076,208848,775,98,41,0,0,0
0004-J,659250,208059,795,95,41,0,1000,0
0004-K,660555,210404,596,95,41,0,1000,0
0004-L,655299,208439,855,91,38,0,2828.427002,0
0004-M,658016,207577,736,93,37,0,1000,0
0004-N,657747,211322,612,94,41,0,0,0
0004-O,661054,212071,697,95,37,0,0,0
0005-A,262944,212270,667,98,42,0,0,0
0005-B,262021,211631,667,98,42,0,0,0
0005-C,264004,143999,15,92,20,0,4472.13623,0
0005-D,263015,142946,52,92,24,0,4472.13623,0
0005-E,153996,143000,17,89,22,0,4123.105469,0
0005-F,105004,142989,16,86,20,0,3162.277588,1.470501423
0005-G,102000,141990,20,94,24,0,3605.55127,0
0005-H,103018,142012,19,91,23,0,3605.55127,0
0005-I,104026,141993,19,65,22,0,3162.277588,0
0005-J,104995,141965,11,87,19,0,3000,2.538891554
0005-K,135985,141983,8,49,16,18,2000,1.87669158
0005-L,191010,140908,22,89,23,0,2236.068115,0
0005-M,161004,140999,22,96,27,0,2828.427002,0
0005-N,161017,140998,20,93,29,0,2828.427002,0
0005-O,163007,141002,17,82,24,0,2236.068115,0
0005-P,165000,130999,21,92,19,0,2000,0
0005-Q,266008,141007,12,34,14,17,2000,0.372057319
0006-A,261010,138989,104,89,19,0,1000,0
0006-B,263049,139042,549,94,30,0,1000,0
0006-C,263991,139005,367,91,28,0,1000,7.454078674
0006-D,265003,139001,124,83,26,0,0,2.05375886
0006-E,258959,138023,34,89,18,0,0,0
0006-F,560001,137966,34,89,18,0,0,0
0006-G,560966,138172,61,81,16,0,0,0
0006-H,562011,137977,216,89,23,0,1000,2.778412342
0006-I,562982,137993,284,87,27,0,0,2.778412342
0006-J,563999,137977,148,87,24,0,0,0
0006-K,464999,138000,59,76,21,0,0,4.560578346
0006-L,190991,139992,33,79,19,0,1414.213501,0
0001-A,460014,130035,72,93,23,0,0,3.773095846
0001-B,209763,177186,300,92,37,0,3605.55127,0
0001-C,196335,178417,281,95,31,0,2236.068115,0
0001-D,266341,176797,241,96,37,0,3162.277588,0
0001-E,254002,137056,55,91,18,0,0,0
